topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,split,tsne_x,tsne_y
30,1baff161-bfc8-4916-9fcd-69acac675d76,"The Secret Service rushed President Trump and his family to a bunker after unrest outside the White House on May 29, 2020.","Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.","Three former Minneapolis police officers were criminally charged with aiding and abetting second-degree murder in connection with Floyd's death, and Chauvin's charge was upgraded to second-degree murder.","Officials in Hennepin County ruled Floyd’s death a homicide on June 1, 2020.","Officers Thomas Lane and J. Alexander Kueng arrive, handcuff Floyd, and move him to a police vehicle.",A,train,13.162968,35.356915
2,8abf5fd0-d9d1-467c-a6a0-cd89e2ffe440,President Donald Trump signed a multibillion-dollar emergency aid package.,COVID-19 forced countries into lockdown.,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",COVID-19 triggered a financial-market meltdown.,The United States indicted Nicolás Maduro with narco-terrorism and other serious charges on March 26.,C,train,17.36901,-24.747963
22,e99c5336-af7a-4b3d-bd58-80958b025a24,A U.S. drone strike killed Iranian Maj. Gen. Qassem Soleimani and Abu Mahdi al-Muhandis after Muhandis picked up Soleimani from an airplane.,US President Donald Trump ordered the assassination of Iranian General Qassem Soleimani.,"In 2007, U.S. commandos observed a convoy carrying Gen. Qassem Soleimani in northern Iraq.",US President Donald Trump ordered the assassination of Iranian General Qassem Soleimani.,President Donald Trump withdrew the U.S. from the nuclear accord after taking office.,"A,C",train,-38.610184,100.39065
30,9f4464a8-9dca-4c8f-96fe-6818ee9d4839,Derek Chauvin was arrested and charged with murder and manslaughter.,Cup Foods employees call police and report George Floyd used fake bills and was drunk/uncontrolled.,"Officials in Hennepin County ruled Floyd’s death a homicide on June 1, 2020.",The city fires all four officers.,"George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.",D,train,-62.09267,13.839688
30,a07b1f5f-cf23-41e8-b4f0-7485f78e1530,"Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.","George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.","Officials in Hennepin County ruled Floyd’s death a homicide on June 1, 2020.","Three former Minneapolis police officers were criminally charged with aiding and abetting second-degree murder in connection with Floyd's death, and Chauvin's charge was upgraded to second-degree murder.",Two Cup Foods employees confront George Floyd about using a counterfeit bill.,A,train,-22.678667,-6.91176
19,0f93581b-8cdc-452c-9ba7-58b922443b2e,Austin and San Antonio issued boil-water notices.,Over four million customers were without power in Texas.,Outdoor temperatures plunged to arctic levels.,Texas Gov. Greg Abbott issued a disaster declaration in all 254 counties.,Over four million customers were without power in Texas.,"A,D",train,17.742788,-81.24819
16,6688a153-394c-43b3-9d32-64dcd650b7a3,Nvidia generated $13.51 billion in revenue for the three months ended July 30.,Nvidia reported a 101% year-over-year increase in quarterly revenue.,"Jensen Huang, Chris Malachowsky, and Curtis Priem founded Nvidia in 1993.","Nvidia released its first-quarter earnings report, estimating $11 billion in second-quarter sales and reporting $1.09 earnings per share.",None of the others are correct causes.,D,train,74.84757,-2.2419844
19,df7349cd-1c7e-414c-ba87-8b48409dba9a,President Joe Biden approved a major disaster declaration for Texas.,Over 2 million Texas residents were left without electricity.,"At least 38 people died nationwide from winter storms or frigid conditions, including 15 deaths in Texas.","San Antonio Mayor Ron Nirenberg and Bexar County Judge Wolff issued a joint declaration urging precautions, travel limits, and energy conservation, activating emergency management plans.",Over 2 million Texas residents were left without electricity.,"A,B,D",train,4.413646,-20.541603
30,720e2ab9-48f9-4798-a1f9-973c9fe1858d,"Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.",Video of George Floyd’s last moments circulated in May.,Derek Chauvin was arrested and charged with murder and manslaughter.,"George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.","Derek Chauvin keeps his knee on George Floyd's neck for over eight minutes, including after Floyd becomes unconscious, until EMTs intervene.","A,C,D",train,-22.678667,-6.91176
10,1dfa7ddf-6358-46e3-960b-c3de4d3ccb87,The S&P 500 fell below its 200-day moving average on Monday.,None of the others are correct causes.,Ontario placed a 25% tax on electricity exports to the U.S.,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,Premier Ford paused Ontario's electricity surcharge.,A,train,42.598454,-65.06473
23,a1f256ff-8c90-4b27-aef5-88d3376ec41d,The Chinese government criticized Japan’s plan to release wastewater.,Japan announced its plan to release treated Fukushima wastewater into the sea.,A huge earthquake and tsunami in 2011 caused a meltdown at the Fukushima plant.,The International Atomic Energy Agency (IAEA) issued a report in July 2023 confirming Fukushima’s release will have a negligible radiological effect.,TEPCO has used water to cool the nuclear fuel rods at Fukushima since 2011.,A,train,47.27871,-86.782524
33,60421176-bd2d-487c-b9cd-27900f4b52d2,French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,MAAP released a report revealing overlap between deforestation and fire alerts in the Brazilian Amazon.,The Brazilian government struggled to contain global outrage over its environmental policies.,Germany and Norway withheld tens of millions of dollars from the Amazon Fund.,"Fire hotspots in indigenous territories increased by 88% from January to August compared to 2018, according to CIMI citing INPE data.",B,train,26.572073,-20.09374
21,ec221e86-545e-436f-bc6e-04efdcf153ee,China’s foreign minister Wang Yi visited Myanmar less than three weeks before the military coup.,"In November 2020, the NLD won a resounding parliamentary election victory, awarding Aung San Suu Kyi a second term.","A military spokesperson warned of ""action"" if the dispute wasn't settled and refused to rule out a coup.",Aung San Suu Kyi led her party to landslide victories in 2015 and on November 8.,None of the others are correct causes.,D,train,-72.78674,-40.40209
25,aba510c4-d0fb-46a5-b325-5f7289fc1159,"On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.","The ""yellow vests"" movement caused roadblocks across France.","The Macron government announced an increase in gas taxes effective January 1, 2019.","227 people were injured in the protests, with six severely.",A protester was accidentally run over and killed by a car near Lyon during demonstrations.,"A,B",train,-37.45876,4.850457
7,49a12765-aa49-4697-b804-70ffd531c387,Yoon's senior aides and defense minister offered to resign.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,Lawmakers at the National Assembly unanimously annulled martial law.,Lawmakers at the National Assembly unanimously annulled martial law.,"C,D",train,-16.044067,54.003418
30,3466ea9f-2366-408a-82a7-5ebceff6ec9e,The city fires all four officers.,Cup Foods employees call police and report George Floyd used fake bills and was drunk/uncontrolled.,"Officials in Hennepin County ruled Floyd’s death a homicide on June 1, 2020.","George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.","George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.","C,D",train,-61.6218,-19.473692
5,7258745c-fbc0-4366-9a1f-3c4be411f0d0,General Motors announced it would suspend its advertising on Twitter.,Musk laid off thousands of Twitter employees and contractors.,Musk fired top Twitter executives.,Elon Musk completed his $44 billion takeover of Twitter.,Twitter sued Elon Musk to force the acquisition.,C,train,35.88139,44.255257
28,1dd9d49b-82dc-4788-ad78-1ed83bd5de0e,Prigozhin negotiated his exit and called off his march on Moscow on Saturday afternoon.,Russian military helicopters opened fire on the Wagner convoy.,Putin delivered a televised address accusing Prigozhin of treason.,Belarusian President Alexander Lukashenko brokered a deal for Prigozhin to leave Russia.,Wagner forces advanced towards Moscow with a column of armored vehicles.,"C,D",train,-95.59261,29.724049
29,606cbd97-55d0-4396-ac27-70c99742617f,"The U.S. Congress defined legal requirements for stablecoins, including HQLA, one-for-one backing, and audits.","On June 17, 2025, the U.S. Senate passed the GENIUS Act.","In January 2025, the US issued an executive order promoting stablecoins and prohibiting central bank digital currencies.","Fiserv announced plans to roll out a new blockchain-based digital asset platform anchored by a U.S. dollar-pegged stablecoin, FIUSD.","On June 17, 2025, the U.S. Senate passed the GENIUS Act.","A,D",train,95.10543,-21.336512
21,395a0b0b-f2e7-4dd1-b4ea-7191d0029112,International leaders and organizations condemned the military takeover in Myanmar.,"Myanmar’s military seized power on February 1, beginning a coup.","In November 2020, the NLD won a resounding parliamentary election victory, awarding Aung San Suu Kyi a second term.",Doctors at several hospitals pledged to go on strike to protest the coup.,The election commission denied widespread voter fraud.,A,train,-65.27462,-51.87814
4,028acf12-31b2-4e0d-ba2f-b7a3789a0673,Shinzo Abe offered to host a peace summit in 2017.,Shinzo Abe promoted the Quadrilateral Security Dialogue (Quad).,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,None of the others are correct causes.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,C,train,-84.49531,10.800944
8,2c2bebc1-85b1-4672-8422-f3c48caff01a,India sent approximately 15 tonnes of relief material to Myanmar via an IAF C-130J aircraft.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",The United Nations mobilized help for Myanmar on Friday.,"A,C",train,-92.74225,-52.47797
25,c991b8c6-3e58-40ac-bda2-eb57b2a4192d,"On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.","The Macron government announced an increase in gas taxes effective January 1, 2019.","The Macron government announced an increase in gas taxes effective January 1, 2019.","227 people were injured in the protests, with six severely.","The Macron government announced an increase in gas taxes effective January 1, 2019.","A,B,D",train,-37.45876,4.850457
32,6b49394f-0e15-4ad6-a55d-6b3a59d6336b,"On August 15, 2021, Afghan President Ashraf Ghani fled the country.",The US launched a bombing campaign in Afghanistan in October 2001.,"Taliban militants captured several provincial capitals, including Zaranj, Sheberghan, Kunduz, Sar-e Pol, Taloqan, and Aybak, between August 6 and August 9.","Al-Qaeda terrorists attacked the US on September 11, 2001.","The Trump administration brokered a cease-fire with the Taliban in early 2020, excluding the Afghan government.",B,train,-99.54728,65.97853
32,7e214c09-7eae-42a7-8f0d-b44863a3a741,The Taliban began a massive offensive in early May 2021.,The U.S. and other countries began withdrawing their forces from Afghanistan on May 1.,"The U.S. and the Taliban signed a peace agreement in Doha on February 29, 2020.","Al-Qaeda terrorists attacked the US on September 11, 2001.",The US launched a bombing campaign in Afghanistan in October 2001.,A,train,-76.24277,75.50967
24,f1325fcb-db28-4a1c-9695-fc795853051b,Emergency workers from around the country were deployed to Itaewon to treat the injured.,Kim and her friend entered the alley at 8 p.m. and became trapped as the crowd density increased.,"A group of young men shoved down the hill, leading to people falling and Kim being buried in the crush.",A deadly crowd surge occurred in a narrow alley in Seoul's Itaewon district on Saturday night.,Kim and her friend crawled out of the crush and were pulled into a tavern by adults.,C,train,-106.0744,-42.786106
30,fd0c82be-7564-4f44-ac61-c028d0b6cfc6,"The Los Angeles Mayor agreed to increase the LAPD budget cut to $150 million, to be redistributed to non-profit agencies.","Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.",Cup Foods employees call police and report George Floyd used fake bills and was drunk/uncontrolled.,Video of George Floyd’s last moments circulated in May.,"Police attacked protesters using stun hand grenades, tear gas, rubber bullets, vehicles, and direct projectile fire.","A,D",train,34.765614,-9.274234
33,bd49a691-ef60-4bc7-ab61-d988fd4d2941,Amazonas state in Brazil declared a state of emergency due to the fires.,French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,The Brazilian government struggled to contain global outrage over its environmental policies.,"125,000 hectares of the Brazilian Amazon were cleared through 2019 and subsequently burned in August, mainly for agricultural conversion.","125,000 hectares of the Brazilian Amazon were cleared through 2019 and subsequently burned in August, mainly for agricultural conversion.","C,D",train,-86.37488,-67.0422
19,a6a9d4c5-7c1f-410e-9182-d936aafb74a5,Electric demand for heat across the state soared.,"A major winter storm hit a large part of the United States on Monday, bringing heavy snow and cold temperatures.",Over four million customers were without power in Texas.,"On February 11, a 130+ vehicle crash on I-35 in Fort Worth resulted in 6 deaths and over 65 hospitalizations.",Outdoor temperatures plunged to arctic levels.,"A,D",train,-10.791276,-80.76952
2,e7b5d1a1-3179-4b72-b90f-671484710558,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",President Donald Trump signed a multibillion-dollar emergency aid package.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"B,C,D",train,0.88879365,-58.655956
30,c67cb90a-4212-4f58-a5ee-08cd91b5f49f,Protesters overtook and destroyed the Minneapolis Police Department’s Third Precinct.,"George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.","George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.",Cup Foods employees call police and report George Floyd used fake bills and was drunk/uncontrolled.,Video of George Floyd’s last moments circulated in May.,"A,B,D",train,-48.612488,-10.246432
12,03145748-6bda-403a-b1a5-641af4549543,Huawei’s smartphone sales suffered in international markets.,"Google, Intel, and other U.S. companies suspended business with Huawei.","Richard Yu announced Harmony OS at a developer conference in Dongguan, China.","Google, Intel, and other U.S. companies suspended business with Huawei.",Huawei denied the U.S. government's accusations and pursued legal means.,"A,C",train,104.502014,1.6554346
20,0ec9e0b5-71d6-483b-a8ef-d9f9d1de8b31,"On July 2, 2021, Judge Bitar requested parliament lift immunity for former ministers Khalil, Zeaiter, and Nohad Machnouk, and sought permission from bar associations to prosecute Khalil, Zeaiter, and Fenianos.",Lebanon declared a two-week state of emergency in Beirut following the blast.,"Thousands of volunteers from Lebanon and its diaspora cleared rubble, offered accommodation, and repaired homes in affected areas after the explosion.","In February 2021, the Court of Cassation removed Judge Sawan from the case, and Investigative Judge Tarek Bitar replaced him.",Prime Minister Hassan Diab and his government resigned following the explosion.,C,train,1.549313,98.86025
8,1eb4b5fa-69e4-4d71-85de-e65686e824c9,Myanmar's military-dominated government issued a plea for outside help.,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.","A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"A,B,D",train,-77.48225,-45.19279
35,5d47cea7-17b5-4f97-87de-7729048b77bf,Regulators expedited the merger process between Credit Suisse and UBS to avert a crisis.,The Swiss National Bank pledged a loan of up to 100 billion Swiss francs to support the takeover.,Credit Suisse shares plunged to a record low after Saudi National Bank stated it would not invest more money.,The Swiss government ordered Credit Suisse to temporarily suspend bonus payments to staff.,Credit Suisse announced material weaknesses in its financial reporting.,"A,B,D",train,100.5007,-48.555145
19,2ba9c58e-ca9c-4f0c-bf9c-e9dcc1c2ff36,"Regional power generators spontaneously shut down, including three coal plants and a gas plant in Corpus Christi.","A major winter storm hit a large part of the United States on Monday, bringing heavy snow and cold temperatures.","ERCOT officials acknowledged ""pretty frigid temperatures"" were headed to Texas during a board meeting.","A major winter storm hit a large part of the United States on Monday, bringing heavy snow and cold temperatures.","On February 11, a 130+ vehicle crash on I-35 in Fort Worth resulted in 6 deaths and over 65 hospitalizations.","A,C",train,-6.7637386,-108.3184
22,4e6f8110-fcb0-481b-8215-c820899801be,UN Secretary-General António Guterres reiterated calls for de-escalation and dialogue after the missile attacks.,The Pentagon suspended operations against ISIS in Iraq and Syria.,Iran launched ballistic missile attacks against Al Asad and Erbil air bases in Iraq used by US and coalition forces on Tuesday night.,Iraqi caretaker Prime Minister Adel Abdul Mahdi condemned the US air raid as a violation of Iraq’s sovereignty.,"During the 1980s Iran-Iraq War, Muhandis fought on the side of Iran.",B,train,-22.921547,29.821472
1,fa1bc674-6516-498c-898a-96c44788a0a6,Sinn Fein called for a referendum on Irish unity.,The UK voted to leave the EU in a June 23 referendum.,Prime Minister David Cameron pledged a referendum on EU membership in 2013.,The Conservative Party won the election.,The British pound plunged in value.,A,train,24.667994,15.028233
16,c1852e28-d5ed-4499-a71d-14245e39e0f9,Nvidia set a new company revenue record.,"Jensen Huang, Chris Malachowsky, and Curtis Priem founded Nvidia in 1993.",Nvidia reported a 101% year-over-year increase in quarterly revenue.,"Nvidia's market cap briefly reached $1 trillion on Tuesday, following its report of better-than-expected Q1 revenues and a prediction of Q2 revenues 50% above analyst expectations.",Foreign investors purchased a net 15.8 trillion won ($11.6 billion) of South Korean stocks from January through March.,B,train,76.003716,1.5947907
33,b4e6f8dd-7185-4e37-9936-b5715037c8d9,"President Bolsonaro announced a 60-day ban on setting fires for land clearing and deployed 44,000 soldiers to seven states.",French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,"Thousands of fires burned in the Amazon rainforest in Brazil in 2019, particularly affecting Roraima, Acre, Rondônia, and Amazonas states.",Bolsonaro replaced the director of Brazil’s National Institute of Space Research with a military official.,"Thousands of fires burned in the Amazon rainforest in Brazil in 2019, particularly affecting Roraima, Acre, Rondônia, and Amazonas states.","B,D",train,-62.71271,-102.00546
15,3991edaf-23b7-4f24-ba18-fea93a2ee1ec,Goldman Sachs estimated that AI systems like ChatGPT could automate up to 300 million jobs worldwide.,"OpenAI publicly released ChatGPT as a free research preview on November 30, 2022.","OpenAI launched the DALL-E 2 beta on July 20, 2022.",OpenAI trained InstructGPT to produce less toxic text.,Human judges scored the initial model’s responses.,A,train,76.09654,33.63028
21,e016d3ca-00d1-4310-8ea4-9595a237d50a,"Myanmar’s military seized power on February 1, beginning a coup.","A military spokesperson warned of ""action"" if the dispute wasn't settled and refused to rule out a coup.","The military repeatedly disputed the election results, alleging fraud and calling on the election commission to release polling data.","In November 2020, the NLD won a resounding parliamentary election victory, awarding Aung San Suu Kyi a second term.",China’s foreign minister Wang Yi visited Myanmar less than three weeks before the military coup.,"A,B,C",train,-70.58523,-42.767895
7,0b336071-58a5-4bb9-a469-3518d84eb873,Lawmakers voted down the martial law decree.,Yoon's senior aides and defense minister offered to resign.,Lawmakers at the National Assembly unanimously annulled martial law.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,C,train,-8.042915,0.44747242
21,9e2d8e2f-8ed6-4a75-9fb6-23445c45ecc6,Myanmar’s military government removed 24 ministers and deputies and appointed 11 replacements.,The military detained Aung San Suu Kyi and other top government figures.,Aung San Suu Kyi led her party to landslide victories in 2015 and on November 8.,"Myanmar’s military seized power on February 1, beginning a coup.",China’s foreign minister Wang Yi visited Myanmar less than three weeks before the military coup.,"A,C",train,-61.732418,-37.64969
32,b89bbfd0-a5d5-463b-9c21-613d7ced8cf2,"On August 15, 2021, Afghan President Ashraf Ghani fled the country.",The Taliban began a massive offensive in early May 2021.,The Taliban began a massive offensive in early May 2021.,The US launched a bombing campaign in Afghanistan in October 2001.,"The Trump administration brokered a cease-fire with the Taliban in early 2020, excluding the Afghan government.","A,B",train,-96.05207,67.141075
17,b7c92411-116e-48fa-8274-9b30144e6315,"Fire crews contained several fires, including the Kenneth, Lidia, Sunset, Auto, Hurst, Archer, and San Diego area fires.","An out-of-control wildfire in L.A.’s Pacific Palisades affected almost 3,000 acres and forced thousands to evacuate.",The Park Fire ignited in July in Northern California.,The Park Fire became the fourth-largest in California history.,"Thousands of firefighters are tackling multiple blazes that killed at least two people and destroyed over 10,000 structures in the Los Angeles area.",D,train,-66.50865,-79.62572
18,60e5f3c4-4775-4397-befb-8bbcecaac424,DeepSeek's app reached the top of U.S. free app charts within a week of its launch.,"In late December, DeepSeek unveiled a free, open-source large language model built in two months for under $6 million using Nvidia H800s chips.","In November 2023, DeepSeek launched DeepSeek LLM.",Liang Wenfeng founded DeepSeek in July 2023.,DeepSeek unveiled its V3 model in December and R1 model in January.,D,train,104.513504,53.66021
24,e8936b30-2a30-4fe4-95cd-a0fb6e57b72e,The U.S. State Department confirmed at least two U.S. citizens were among the dead.,At least 153 people were killed and dozens injured.,Emergency workers and pedestrians performed CPR on victims in the streets on Saturday night.,A temporary medical center was established in Itaewon for treating the injured.,Kim and her friend entered the alley at 8 p.m. and became trapped as the crowd density increased.,A,train,-71.8918,-5.64956
25,6ca200ba-b437-4df9-9761-5075a5f16c8f,"130 people were arrested across France, including 42 in Paris.","The ""yellow vests"" movement caused roadblocks across France.","On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.","The Macron government announced an increase in gas taxes effective January 1, 2019.","Authorities mobilized 3,000 officers and set up a security perimeter to contain 8,000 protesters and protect government buildings in Paris.","A,B,D",train,-36.90084,-29.42389
8,102693f8-67a3-4371-835f-ab737e43612e,India sent approximately 15 tonnes of relief material to Myanmar via an IAF C-130J aircraft.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",Authorities in Myanmar and Thailand declared a state of emergency.,Authorities in Myanmar and Thailand declared a state of emergency.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A,B,C",train,-92.74225,-52.47797
10,618b66bb-d2ae-4299-81d0-02a05a8c6a76,"The new 10% tariffs will go into effect on Saturday, and reciprocal rates next Wednesday.",The 16th Amendment was ratified in 1913.,None of the others are correct causes.,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,B,train,33.378876,-53.411247
8,3290b0d1-0541-4641-906d-8c4ff86432ca,India sent approximately 15 tonnes of relief material to Myanmar via an IAF C-130J aircraft.,Myanmar's military-dominated government issued a plea for outside help.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",Authorities in Myanmar and Thailand declared a state of emergency.,Authorities in Myanmar and Thailand declared a state of emergency.,"A,C,D",train,-92.74225,-52.47797
16,7feab2e0-2f53-429b-b401-f62af22965ae,"Nvidia shares surged 24% to a record high, triggering a stock rally for Nvidia and other AI-adjacent businesses.",Foreign investors purchased a net 15.8 trillion won ($11.6 billion) of South Korean stocks from January through March.,"Nvidia released its first-quarter earnings report, estimating $11 billion in second-quarter sales and reporting $1.09 earnings per share.","Jensen Huang, Chris Malachowsky, and Curtis Priem founded Nvidia in 1993.",Jensen Huang took Nvidia public on Nasdaq in 1999.,B,train,65.77477,-8.734315
12,37c2e029-8bba-45d3-be3a-919768e9e067,Huawei’s smartphone sales suffered in international markets.,"Huawei stated it will first lay the foundation for operating systems in the Chinese market, then expand overseas.","Huawei currently has no plans to roll out Harmony OS to phones, tablets, or computers.",Huawei announced a deployment timeline for HarmonyOS on various devices between 2020 and 2022.,"Google, Intel, and other U.S. companies suspended business with Huawei.",D,train,104.502014,1.6554346
33,a82de206-4473-4511-a339-d11fb6d03985,"President Bolsonaro announced a 60-day ban on setting fires for land clearing and deployed 44,000 soldiers to seven states.",Dozens of fires scorched and are spreading across large swaths of the Amazon.,Germany and Norway withheld tens of millions of dollars from the Amazon Fund.,MAAP released a report revealing overlap between deforestation and fire alerts in the Brazilian Amazon.,Brazilian authorities are investigating 70 farmers and land grabbers in Pará for allegedly organizing an August 10 'Day of Fire.',A,train,-58.57814,-99.67243
29,95744ceb-44e1-44e6-a310-ab1fae059864,Visa and Mastercard stock dropped approximately 5% on June 18th.,"Fiserv announced plans to roll out a new blockchain-based digital asset platform anchored by a U.S. dollar-pegged stablecoin, FIUSD.","In January 2025, the US issued an executive order promoting stablecoins and prohibiting central bank digital currencies.","In May 2022, TerraUSD collapsed and lost its dollar peg.","On June 17, 2025, the U.S. Senate passed the GENIUS Act.",D,train,65.162994,-32.07991
18,aa4daf12-0135-43c6-be7f-f8ab691ae9cb,"Donald Trump hailed a $500 billion plan by OpenAI, SoftBank, and Oracle.","In November 2023, DeepSeek launched DeepSeek LLM.",DeepSeek's app reached the top of U.S. free app charts within a week of its launch.,Liang Wenfeng founded DeepSeek in July 2023.,DeepSeek released a notice stating it does not engage in external project cooperation or privatization deployment.,B,train,68.59431,18.631409
3,61a1437d-08a3-4e11-b6ab-4a8aed65534d,Congress confirmed Biden as president in the early hours of January 7th.,A woman was shot inside the Capitol and died.,Supporters stormed the U.S. Capitol.,Five people died during the riots.,The FBI and ATF cleared the Capitol.,"B,D",train,15.027122,-4.381243
22,50b86abb-b09c-4093-ba75-51ef0264a759,Iraqi caretaker Prime Minister Adel Abdul Mahdi condemned the US air raid as a violation of Iraq’s sovereignty.,"During the 1980s Iran-Iraq War, Muhandis fought on the side of Iran.",US President Donald Trump ordered the assassination of Iranian General Qassem Soleimani.,US President Donald Trump ordered the assassination of Iranian General Qassem Soleimani.,"In 2015, the U.S. and five other nations signed a nuclear accord with Tehran.","B,C",train,-29.135843,106.13245
10,ae077156-7cb1-40b4-b2a8-2289776df94d,"The new 10% tariffs will go into effect on Saturday, and reciprocal rates next Wednesday.",Trump and Canadian Prime Minister Mark Carney had a call last week.,Trump announced tariffs on Chinese goods and any country buying oil from Venezuela.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",Tariffs on imported steel and aluminum are in effect.,"B,C",train,33.378876,-53.411247
26,15efa0a7-1896-499e-8419-b9bd297cce3c,The ANYSO stratospheric smoke persisted for at least 15 months through March 2021.,"The most extreme pyroCb activity occurred on December 30, with eleven sub-events producing 25 pulses, at least 13 of which injected smoke into the lower stratosphere.",Bushfires in New South Wales and Queensland destroyed CO2-absorbing vegetation.,"Australia recorded its hottest day ever on Tuesday, with an average temperature of 40.9 degrees Celsius.","The fires destroyed more than 1,400 homes.",A,train,-34.368237,-92.5642
13,eec2e4e7-8a31-4189-8013-cef82b148e0e,Facebook announced a $50 million fund for responsible metaverse research in September.,None of the others are correct causes.,Mark Zuckerberg announced a smart-glasses partnership with Ray-Ban.,Mark Zuckerberg announced Facebook was betting on the metaverse in July.,"Facebook announced plans to hire 10,000 more employees for metaverse development in Europe.",A,train,65.9342,84.96145
9,604b93e6-83bf-41e7-8355-81ccceab228d,OPM offered federal workers the option to resign with pay.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,DOGE representatives spoke with staff at over a dozen federal agencies.,David Lebryk departed his position at the Treasury Department.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,A,train,1.6347694,45.744797
8,dc6856fb-02f3-4d96-a2c0-98c9b0b2243f,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",India sent approximately 15 tonnes of relief material to Myanmar via an IAF C-130J aircraft.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",Authorities in Myanmar and Thailand declared a state of emergency.,C,train,-39.232056,-56.36962
33,b3818f66-f3a6-4962-b184-36294c877c11,Amazonas state in Brazil declared a state of emergency due to the fires.,French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,None of the others are correct causes.,"Fire hotspots in indigenous territories increased by 88% from January to August compared to 2018, according to CIMI citing INPE data.",Brazilian authorities are investigating 70 farmers and land grabbers in Pará for allegedly organizing an August 10 'Day of Fire.',B,train,-85.3892,-70.043076
34,f69b7ac1-d391-49b9-8bec-5a801494d628,"Officials ordered the evacuation of Mollala and expanded evacuation zones in Clackamas County, Oregon due to wildfires.",California required rebuilding in high-risk wildfire areas to use fire-resistant materials over a decade ago.,Wildfires in recent years destroyed thousands of homes.,"The Almeda Fire burned hundreds of homes and businesses in Phoenix and Talent, Oregon.",None of the others are correct causes.,D,train,-59.076187,-85.75453
24,a5c1c464-a293-460a-9487-48f2a89560c3,A temporary medical center was established in Itaewon for treating the injured.,Kim and her friend entered the alley at 8 p.m. and became trapped as the crowd density increased.,"A group of young men shoved down the hill, leading to people falling and Kim being buried in the crush.",Emergency workers and pedestrians performed CPR on victims in the streets on Saturday night.,At least 153 people were killed and dozens injured.,D,train,-112.14639,-43.00404
